,Times,CB1,CB,CT1,CT
0,1558,2806,2851,3350,3350
1,1559,2996,2852,3314,3350
2,1559,2852,2882,3350,2973
3,1559,2851,3078,3350,3223
4,1600,2852,2806,3350,2965
5,1600,2853,2806,3350,3007
6,1600,2853,2926,3350,3350
7,1601,2806,2853,3340,3350
8,1601,2853,2806,3350,3017
9,1601,2854,3041,3350,3350
10,1602,2854,2806,3350,3013
11,1602,2806,2975,3350,3215
12,1602,3054,2933,3145,2992
13,1602,3056,2785,3134,2882
14,1603,2900,2770,3006,2887
15,1603,2769,3067,2873,3174
16,1603,2769,3274,2867,3350
17,1604,3056,2767,3146,2886
18,1604,3057,3004,3149,3118
19,1604,2802,3066,3003,3165
20,1605,2767,2909,2986,3013
21,1605,2767,2907,3004,2992
22,1605,2769,2905,2873,2980
23,1606,2769,3169,2994,3337
24,1606,2769,2900,2953,2994
25,1606,2897,2770,3048,2875
26,1607,2768,2894,2928,3000
27,1607,2893,2776,3067,2953
28,1607,2890,2833,3085,2987
29,1608,2886,3268,3068,3350
30,1608,2882,3270,3014,3350
31,1608,2880,3207,3014,3350
32,1609,2879,3079,3014,3154
33,1609,2878,3039,3018,3100
34,1609,2878,3041,3084,3121
35,1610,2924,2879,3117,3044
36,1610,2881,3070,3022,3155
37,1610,2881,3069,3019,3133
38,1610,2881,3262,3024,3350
39,1611,2906,2881,3059,3009
40,1611,2886,2940,3003,3074
41,1611,2886,3065,3003,3183
42,1612,2896,3014,3000,3085
43,1612,2896,2909,3057,2984
44,1612,2897,2986,3048,3084
45,1613,3069,3213,3137,3350
46,1613,2903,3283,3015,3350
47,1613,2920,2922,2984,3077
48,1614,3217,3284,3350,3350
49,1614,3217,2887,3350,3004
50,1614,2884,3179,3005,3321
51,1615,3217,2910,3350,3043
52,1615,3217,3263,3350,3350
53,1615,3249,3217,3350,3350
54,1616,3217,3258,3350,3350
55,1616,3175,3223,3350,3350
56,1616,2910,3219,3087,3350
57,1617,3218,2899,3350,2990
58,1617,2891,3217,3084,3350
59,1617,3216,2882,3350,3084
60,1617,3200,2880,3350,3040
61,1618,3201,2876,3350,3040
62,1618,3182,673,3350,919
63,1618,3206,3245,3350,3350
64,1619,3232,3281,3350,3350
65,1619,3235,3252,3350,3350
66,1619,3222,3241,3350,3350
67,1620,3236,3243,3350,3350
68,1620,3208,2886,3350,2979
69,1620,3209,2885,3350,3029
70,1621,3204,2887,3350,3097
71,1621,3211,3000,3350,3277
72,1621,3227,3007,3350,3238
73,1621,3149,2938,3350,3094
74,1622,3213,2877,3350,3010
75,1622,3230,2993,3350,3091
76,1622,3236,2923,3350,3086
77,1623,3215,3208,3350,3350
78,1623,3215,3271,3350,3350
79,1623,3278,2997,3350,3122
80,1624,3286,3157,3350,3283
81,1624,3273,3294,3350,3350
82,1624,3264,3282,3350,3350
83,1625,3246,3283,3350,3350
