Date,Camera,Pitch,Yaw
2022-07-18,1,12,260
2022-07-19,1,14.2,262
2022-07-20,1,14.8,258
2022-07-22,1,14.25,254.09
2022-07-23,1,12.4,255.09
2022-07-23,2,12.7,247.09
2022-07-24,2,12.25,252.09
2022-07-25,1,14.05,258.09
2022-07-25,2,12.6,252.09
2022-07-26,1,10.65,258.1
2022-07-26,2,12.85,253.09
2022-07-27,1,11.5,258.1
2022-07-27,2,12.6,252.09
2022-07-29,1,16,152
2022-07-29,2,11.6,268
2022-07-30,1,19,152
2022-07-30,2,13.5,258
2022-07-31,1,19,152
2022-07-31,2,12.8,251
2022-08-01,1,19,152
2022-08-01,2,14.4,260
2022-08-02,2,14.95,249
2022-08-03,2,15.05,254
2022-08-04,2,14.85,247
