Date,camera,yaw,pitch,camlat,camlon,height
18-07-2022,1,260,12,34.0166,-106.8978,1441.1
18-07-2022,2,260,12,34.0167,-106.8978,1460
19-07-2022,1,262,14.2,34.0167,-106.8978,1453.6
20-07-2022,1,258,14.8,34.0167,-106.8978,1457
22-07-2022,1,254.09,14.25,34.0167,-106.8978,1453.6
23-07-2022,1,255.09,12.4,34.0167,-106.8978,1458.5
23-07-2022,2,247.09,12.7,34.0167,-106.8978,1458.6
24-07-2022,2,252.09,12.25,34.0167,-106.8978,1426.4
25-07-2022,1,258.09,14.05,34.0167,-106.8978,1451.8
25-07-2022,2,252.09,12.6,34.0167,-106.8978,1455
26-07-2022,1,258.1,10.65,34.05,-106.8978,1450.9
26-07-2022,2,253.09,12.85,34.0167,-106.8978,1461
27-07-2022,1,258.1,11.5,34.05,-106.8978,1410.6
27-07-2022,2,252.09,12.6,34.0167,-106.8978,1455
29-07-2022,1,152,16,34.083,-107.29709,2030
29-07-2022,2,268,11.6,34.0167,-106.8978,1457.2
30-07-2022,1,152,19,34.083,-107.29709,2049.5
30-07-2022,2,258,13.5,34.0167,-106.8978,1446.5
31-07-2022,1,152,19,34.083,-107.29709,2042
31-07-2022,2,251,12.8,34.0167,-106.8978,1451.9
01-08-2022,1,152,19,34.083,-107.29709,2041.8
01-08-2022,2,260,14.4,34.0167,-106.8978,1460.6
02-08-2022,2,249,14.95,34.0167,-106.8978,1456.7
03-08-2022,2,254,15.05,34.0167,-106.8978,1450.3
04-08-2022,2,247,14.85,34.0167,-106.8978,1450.5
